"country","Mean(avg_temp)"
"Afghanistan",14.449848484848486
"Albania",15.722348484848483
"Algeria",16.60825757575757
"Angola",23.748560606060604
"Argentina",17.172386363636367
"Armenia",8.637424242424245
"Australia",16.024911616161614
"Austria",8.246590909090909
"Azerbaijan",11.381893939393942
"Bahamas",24.94121212121212
"Bahrain",25.98689393939394
"Bangladesh",25.716590909090925
"Belarus",5.680151515151513
"Belgium",10.08325757575758
"Bolivia",8.833409090909095
"Bosnia And Herzegovina",9.270075757575754
"Botswana",19.078484848484845
"Brazil",21.97942560553634
"Bulgaria",8.671287878787881
"Burkina Faso",28.144696969696977
"Burundi",20.836590909090912
"Cameroon",24.667500000000004
"Canada",6.307285353535355
"Central African Republic",25.001590909090904
"Chile",9.256401515151516
"China",12.78477049910873
"Colombia",24.342954545454536
"Congo",23.921893939393946
"Congo (Democratic Republic Of The)",22.290265151515143
"Croatia",9.674924242424238
"Czech Republic",8.457803030303031
"C̫te D'Ivoire",25.950757575757578
"Denmark",8.16280303030303
"Dominican Republic",26.147196969696974
"Ecuador",19.906262886597954
"Egypt",20.989393939393935
"El Salvador",25.509015151515158
"Equatorial Guinea",25.546666666666667
"Eritrea",24.022878787878792
"Estonia",5.245151515151518
"Finland",4.615378787878787
"France",10.59348484848485
"Gabon",26.033863636363638
"Georgia",8.637424242424245
"Germany",7.520050505050509
"Ghana",26.357727272727278
"Greece",17.614090909090915
"Guatemala",19.33946969696969
"Guinea",26.687651515151526
"Guinea Bissau",27.1625
"Guyana",26.65734848484849
"Haiti",26.608484848484856
"Honduras",24.053560606060604
"Hong Kong",21.53106060606061
"Hungary",9.957196969696968
"India",25.50288223140502
"Indonesia",26.347714646464645
"Iran",13.978080808080799
"Iraq",21.052386363636355
"Ireland",8.890378787878788
"Italy",9.582499999999994
"Jamaica",26.783712121212126
"Japan",14.222676767676775
"Kazakhstan",4.116818181818182
"Kenya",16.111666666666668
"Laos",24.29037878787879
"Latvia",5.576515151515152
"Lebanon",19.152727272727276
"Lesotho",14.12045454545454
"Liberia",25.77999999999999
"Libya",19.39060606060606
"Lithuania",5.782727272727271
"Macedonia",9.780000000000001
"Madagascar",19.28696
"Malawi",20.02515151515152
"Malaysia",26.712651515151514
"Mali",27.070378787878777
"Mauritania",27.110833333333325
"Mauritius",23.58752
"Mexico",19.901590909090867
"Moldova",9.042499999999997
"Mongolia",-3.130833333333332
"Montenegro",10.418863636363639
"Morocco",17.41030303030304
"Mozambique",21.282651515151514
"Namibia",19.726212121212114
"Nepal",14.847196969696968
"Netherlands",9.349772727272732
"New Zealand",12.723257575757577
"Nicaragua",26.487272727272742
"Niger",29.104318181818194
"Nigeria",26.551450216450196
"Norway",2.6544696969696973
"Pakistan",23.656414141414135
"Papua New Guinea",24.85712121212121
"Peru",16.771417322834647
"Philippines",26.31131313131313
"Poland",7.615378787878789
"Portugal",15.68575757575758
"Qatar",26.988106060606064
"Romania",11.058181818181813
"Russia",2.826422558922563
"Rwanda",19.128787878787886
"Saudi Arabia",25.5835606060606
"Senegal",24.709166666666665
"Serbia",10.021780303030306
"Sierra Leone",26.687651515151526
"Singapore",26.669924242424244
"Slovakia",10.058181818181817
"Slovenia",9.674924242424238
"Somalia",27.18015151515152
"South Africa",17.292537878787883
"South Korea",10.839090909090913
"Spain",14.82449494949494
"Sri Lanka",26.134166666666662
"Sudan",27.428598484848486
"Suriname",26.54015151515151
"Sweden",6.688409090909091
"Switzerland",7.037878787878785
"Syria",18.61045454545455
"Taiwan",22.22795454545454
"Tajikistan",7.467348484848483
"Tanzania",25.77704000000001
"Thailand",27.369696969696978
"Tunisia",18.645000000000007
"Turkey",14.50821212121211
"Uganda",23.264469696969694
"Ukraine",7.307651515151516
"United Arab Emirates",26.673863636363638
"United Kingdom",8.954651515151513
"United States",14.544523601398614
"Uruguay",16.38151515151515
"Uzbekistan",10.483030303030306
"Venezuela",25.87893939393939
"Vietnam",24.511212121212118
"Zambia",20.470227272727275
"Zimbabwe",20.243712121212127
